date        tag                                       R_9.4%   R_12.6%   R_29.1%   R_32.2%   R_41.6%   mu_41.6  sig_41.6
2026-07-08  base                                       1.345    23.215    29.614    15.575    10.727    3734.2     400.6
2026-07-08  base                                       0.957    22.987    20.447    10.387    10.871    3733.8     405.9
2026-07-08  base                                      15.896    12.900    10.803    21.590     9.980    3723.0     371.6
2026-07-08  base                                      16.018    12.921    20.048    10.584    10.368    3718.3     385.5
2026-07-08  boxTime5                                  15.714    13.239    19.538    10.858    10.479    3711.3     388.9
2026-07-08  boxTime10                                 15.941    12.998    10.437    21.130     9.945    3731.3     371.1
2026-07-09  rangeCut0p1mm                             16.501    12.394    20.320    10.484    10.428    3721.4     388.1
2026-07-09  rangeCut1mm                               16.569    12.198    21.642    10.326    10.312    3721.3     383.7
2026-07-09  eCut500eV                                 18.347    17.669    19.368     9.835    11.124    3476.9     386.8
2026-07-09  o2ppm3                                    15.662    15.177    10.090    20.315    10.594    3590.5     380.4
2026-07-09  o2ppm8                                    20.602    14.619    21.124    10.255    12.252    3317.7     406.5
2026-07-09  fano10                                    17.166    13.358    20.598     9.817    10.453    3735.5     390.5
2026-07-09  stepFunc02                                15.399    13.197    18.681     9.871    10.190    3733.5     380.5
2026-07-09  combo_step02_box10_o2ppm3                 16.735    13.380     9.933    22.668    10.364    3583.0     371.3
2026-07-09  G4only_combo                              12.563    13.012     8.136    20.004     7.952    3993.6     317.6
2026-07-09  physEMZ                                   16.875    12.304    20.840    10.321    10.715    3705.8     397.1
2026-07-09  physLIV                                   15.966    15.697    19.005     9.103     9.825    3852.7     378.5
2026-07-09  physSTD                                    9.654    22.865     3.791     3.770    20.905    3035.1     634.5
2026-07-09  combo_LIV_box10_o2ppm3                    24.953    21.054    23.057    10.125    10.279    3673.5     377.6
2026-07-09  base_newfit                               16.043    12.868    20.654    10.734    10.379    3718.6     386.0
2026-07-09  combo_LIV_step02_box10_o2ppm3             14.987    13.479    10.492    22.527     9.713    3697.5     359.1
2026-07-09  scaleFac085                               16.692    14.932    19.699    11.262    10.487    3728.2     391.0
2026-07-09  scaleFac100                               14.086    13.948    18.848    11.485    10.366    3742.4     388.0
2026-07-09  mscCombined                               15.300    13.270    10.468    19.970    10.037    3740.8     375.5
2026-07-09  stepFinalRange0p1mm                       16.752    11.140    10.685    22.155     9.939    3730.5     370.8
2026-07-09  mscStepBoundary                           15.764    14.415    10.742    21.461    10.287    3728.0     383.5
2026-07-09  noLateralDisp                             17.222    12.220     9.833    21.259    10.280    3737.9     384.3
2026-07-09  combo_LIV_step02_msc_box10_3ppm           15.570    14.759    20.017    10.043    10.133    3701.8     375.1
2026-07-09  stepFunc02_0p1mm                          14.298    13.290     8.281    19.670     8.056    3987.1     321.2
2026-07-09  Bfield5                                   17.717     9.650    16.915     9.539    10.559    3775.7     398.7
2026-07-10  LIV_step02_0p1mm                          11.744    13.054     8.379    15.377     8.023    4081.9     327.5
2026-07-10  LIV_step02_0p1mm_box10                    12.868    13.070     8.070    19.898     7.540    4091.3     308.5
2026-07-10  LIV_step02_0p1mm_box10_3ppm               15.492    12.003     8.314    22.120     8.010    3929.6     314.8
2026-07-10  PEN_step02_0p1mm_box10                    11.896    14.152    15.007     8.150     8.469    3976.7     336.8
2026-07-10  LIV_step02_0p1mm_msc_box10_3ppm           12.996    12.824    13.416     8.272     8.756    3918.8     343.1
2026-07-10  npe1k                                     13.487    13.521     7.969    21.579     8.023    3931.4     315.4
2026-07-10  npe500                                    14.190    12.284     8.101    20.331     8.099    3936.1     318.8
